"","police","BLM","partyID"
"515",100,999,6
"516",-6,-6,4
"517",85,30,7
"518",100,0,7
"519",-6,-6,5
"520",50,50,2
"521",85,50,7
"522",70,50,4
"523",60,70,3
"524",70,50,5
"525",100,15,5
"526",85,100,5
"527",50,100,3
"528",0,85,6
"529",100,15,7
"530",85,0,7
"531",100,0,7
"532",70,30,5
"533",100,60,3
"534",100,0,3
"535",85,0,4
"536",85,100,5
"537",85,15,7
"538",100,40,2
"539",70,50,1
"540",40,85,1
"541",85,0,4
"542",85,40,7
"543",85,50,4
"544",70,30,7
"545",60,999,5
"546",85,50,5
"547",60,100,1
"548",100,15,3
"549",100,70,4
"550",40,50,5
"551",85,0,7
"552",70,40,2
"553",50,85,3
"554",85,15,7
"555",70,40,6
"556",100,0,7
"557",85,15,6
"558",100,0,7
"559",70,40,7
"560",40,60,1
"561",40,100,1
"562",65,0,4
"563",998,999,1
"564",50,50,5
"565",60,40,1
"566",85,70,2
"567",100,60,3
"568",60,50,1
"569",85,999,1
"570",85,50,1
"571",85,100,1
"572",0,70,4
"573",38,75,2
"574",70,60,1
"575",100,30,5
"576",60,15,5
"577",75,85,1
"578",100,999,5
"579",60,50,1
"580",-6,-6,6
"581",50,100,5
"582",100,60,7
"583",50,60,3
"584",100,100,4
"585",-6,-6,2
"586",100,70,1
"587",100,40,7
"588",100,100,2
"589",100,50,2
"590",85,70,5
"591",100,40,7
"592",70,85,3
"593",100,0,7
"594",-6,-6,1
"595",30,85,4
"596",70,0,7
"597",85,30,5
"598",40,85,3
"599",15,100,1
"600",-6,-6,3
"601",70,85,3
"602",100,100,7
"603",60,50,6
"604",60,85,3
"605",100,100,6
"606",70,70,3
"607",100,85,1
"608",85,85,3
"609",85,0,6
"610",85,85,3
"611",100,0,7
"612",85,50,2
"613",70,50,6
"614",100,30,5
"615",60,100,2
"616",50,50,5
"617",85,15,7
"618",70,50,5
"619",100,15,7
"620",60,0,3
"621",100,70,3
"622",40,85,2
"623",85,0,2
"624",85,60,6
"625",70,50,1
"626",-6,-6,1
"627",100,40,1
"628",50,50,1
"629",85,0,5
"630",100,40,7
"631",50,50,4
"632",100,100,3
"633",50,15,7
"634",60,100,1
"635",100,0,7
"636",50,0,2
"637",50,70,1
"638",85,0,5
"639",-6,-6,7
"640",60,70,4
"641",70,70,2
"642",85,50,4
"643",85,50,5
"644",85,30,7
"645",40,85,2
"646",85,50,5
"647",40,60,2
"648",70,30,6
"649",70,85,1
"650",-6,-6,1
"651",50,50,1
"652",70,50,4
"653",100,60,1
"654",70,30,5
"655",60,60,7
"656",100,0,5
"657",70,999,4
"658",100,85,4
"659",-6,-6,1
"660",60,40,5
"661",70,50,6
"662",50,50,5
"663",40,70,1
"664",85,0,5
"665",85,100,3
"666",60,40,2
"667",50,85,1
"668",100,40,6
"669",70,50,6
"670",70,50,4
"671",50,50,3
"672",60,50,5
"673",70,50,2
"674",70,15,2
"675",85,50,4
"676",70,15,5
"677",70,30,4
"678",100,999,1
"679",85,85,2
"680",-6,-6,1
"681",100,50,1
"682",40,70,1
"683",-6,-6,4
"684",70,70,5
"685",60,40,2
"686",85,70,1
"687",100,30,7
"688",85,85,4
"689",100,0,6
"690",60,85,2
"691",70,0,4
"692",100,15,2
"693",70,40,6
"694",85,50,1
"695",60,100,3
"696",100,0,7
"697",70,60,2
"698",85,30,7
"699",70,50,2
"700",100,15,5
"701",85,100,5
"702",70,0,6
"703",70,100,4
"704",40,85,1
"705",85,70,-8
"706",100,85,1
"707",85,30,5
"708",-6,-6,5
"709",30,0,3
"710",-6,-6,5
"711",40,85,1
"712",85,85,2
"713",85,50,1
"714",100,100,1
"715",100,50,5
"716",100,70,6
"717",85,30,7
"718",100,50,3
"719",85,50,5
"720",85,0,7
"721",100,15,1
"722",85,85,3
"723",45,70,3
"724",50,85,2
"725",100,100,5
"726",100,50,5
"727",60,40,3
"728",85,15,3
"729",100,50,7
"730",100,70,6
"731",-6,-6,7
"732",40,60,3
"733",50,50,4
"734",100,85,5
"735",85,50,5
"736",85,85,6
"737",60,60,1
"738",100,100,3
"739",30,85,1
"740",60,85,1
"741",85,15,6
"742",70,50,1
"743",50,999,4
"744",50,0,4
"745",100,15,2
"746",85,85,4
"747",70,100,1
"748",-6,-6,7
"749",70,60,3
"750",60,40,6
"751",70,70,3
"752",100,100,2
"753",85,40,3
"754",30,100,3
"755",85,30,7
"756",100,0,7
"757",100,30,5
"758",40,70,4
"759",100,0,5
"760",40,85,4
"761",-6,-6,2
"762",60,70,5
"763",60,40,5
"764",85,50,6
"765",85,100,2
"766",85,70,3
"767",50,65,3
"768",50,30,7
"769",-6,-6,7
"770",85,40,7
"771",50,50,7
"772",100,0,1
"773",70,85,1
"774",-6,-6,3
"775",70,40,1
"776",0,100,1
"777",60,998,1
"778",90,65,2
"779",60,85,4
"780",85,0,3
"781",70,30,5
"782",85,85,1
"783",85,100,1
"784",85,60,3
"785",-9,60,2
"786",50,40,5
"787",60,40,6
"788",-6,-6,5
"789",60,60,5
"790",60,50,1
"791",60,100,4
"792",85,100,1
"793",75,15,7
"794",85,40,1
"795",85,40,6
"796",60,60,3
"797",85,30,5
"798",85,70,4
"799",80,0,7
"800",85,100,1
"801",100,100,7
"802",70,70,3
"803",50,40,2
"804",70,30,2
"805",70,50,4
"806",70,50,4
"807",100,60,7
"808",15,0,5
"809",100,0,7
"810",70,50,7
"811",60,100,1
"812",70,85,1
"813",85,60,1
"814",85,70,2
"815",50,50,1
"816",100,70,1
"817",70,30,5
"818",60,40,5
"819",70,50,3
"820",85,40,7
"821",60,85,2
"822",30,15,7
"823",85,85,3
"824",100,30,6
"825",100,0,7
"826",100,70,1
"827",60,50,-8
"828",70,15,6
"829",100,0,7
"830",60,60,1
"831",50,50,-9
"832",100,50,7
"833",-6,-6,1
"834",85,60,1
"835",100,70,6
"836",-6,-6,4
"837",100,0,7
"838",70,50,6
"839",-6,-6,3
"840",85,15,6
"841",100,30,6
"842",85,60,1
"843",85,0,4
"844",-6,-6,6
"845",60,60,2
"846",85,50,3
"847",70,15,4
"848",85,85,3
"849",50,999,1
"850",90,100,5
"851",70,50,1
"852",85,15,5
"853",85,60,3
"854",60,70,4
"855",10,11,3
"856",50,100,4
"857",-6,-6,5
"858",85,40,5
"859",100,0,6
